 Nome da IES, Sigla da IES, Categoria Administrativa, Área de Avaliação, Município do Curso, Sigla da UF, CPC (Faixa)
CENTRO UNIVERSITÁRIO UNIFTEC,,Privada com fins lucrativos,ENGENHARIA DE COMPUTAÇÃO I,Caxias do Sul,RS,SC
CENTRO UNIVERSITÁRIO ESTÁCIO DA AMAZÔNIA,ESTÁCIO AMAZÔNIA,Privada com fins lucrativos,NUTRIÇÃO,Boa Vista,RR,3
CENTRO UNIVERSITARIO PROJEÇÃO,UNIPROJEÇÃO,Privada sem fins lucrativos,FISIOTERAPIA,Brasília,DF,4
CENTRO UNIVERSITARIO PROJEÇÃO,UNIPROJEÇÃO,Privada sem fins lucrativos,ENGENHARIA CIVIL,Brasília,DF,3
CENTRO UNIVERSITÁRIO PARA O DESENVOLVIMENTO DO ALTO VALE DO ITAJAÍ,UNIDAVI,Comunitária/Confessional,ENGENHARIA MECÂNICA,Rio do Sul,SC,SC
UNIVERSIDADE SALVADOR,UNIFACS,Privada com fins lucrativos,TECNOLOGIA EM GESTÃO HOSPITALAR,Salvador,BA,2
UNIVERSIDADE SALVADOR,UNIFACS,Privada com fins lucrativos,TECNOLOGIA EM GESTÃO AMBIENTAL,Salvador,BA,4
CENTRO UNIVERSITÁRIO JORGE AMADO,UNIJORGE,Privada com fins lucrativos,BIOMEDICINA,Salvador,BA,4
CENTRO UNIVERSITÁRIO JORGE AMADO,UNIJORGE,Privada com fins lucrativos,ENGENHARIA DE COMPUTAÇÃO I,Salvador,BA,4
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA CATARINENSE",IF Catarinense,Pública Federal,ENGENHARIA DE COMPUTAÇÃO I,São Bento do Sul,SC,4
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA CATARINENSE",IF Catarinense,Pública Federal,ENGENHARIA DE CONTROLE E AUTOMAÇÃO,São Bento do Sul,SC,4
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO SUL",IFRS,Pública Federal,TECNOLOGIA EM GESTÃO AMBIENTAL,Viamão,RS,3
UNIVERSIDADE ESTÁCIO DE SÁ,UNESA,Privada com fins lucrativos,NUTRIÇÃO,Rio de Janeiro,RJ,3
UNIVERSIDADE ESTÁCIO DE SÁ,UNESA,Privada com fins lucrativos,NUTRIÇÃO,Niterói,RJ,3
CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU DE MACEIÓ,UNINASSAUMACEI?,Privada sem fins lucrativos,MEDICINA VETERINÁRIA,Maceió,AL,3
UNIVERSIDADE FEDERAL DO MARANHÃO,UFMA,Pública Federal,ENGENHARIA AMBIENTAL,São Luís,MA,4
CENTRO UNIVERSITÁRIO ESTÁCIO DE SANTA CATARINA - ESTÁCIO SANTA CATARINA,,Privada com fins lucrativos,TECNOLOGIA EM GESTÃO AMBIENTAL,São José,SC,3
CENTRO UNIVERSITÁRIO ESTÁCIO DE SANTA CATARINA - ESTÁCIO SANTA CATARINA,,Privada com fins lucrativos,TECNOLOGIA EM GESTÃO HOSPITALAR,São José,SC,3
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA",IFBA,Pública Federal,ENGENHARIA MECÂNICA,Simões Filho,BA,3
UNIVERSIDADE ESTÁCIO DE SÁ,UNESA,Privada com fins lucrativos,NUTRIÇÃO,Rio de Janeiro,RJ,3
Centro Universitário Vale do Rio Verde,,Privada sem fins lucrativos,ENGENHARIA CIVIL,Três Corações,MG,3
Centro Universitário Vale do Rio Verde,,Privada sem fins lucrativos,ARQUITETURA E URBANISMO,Três Corações,MG,4
CENTRO UNIVERSITÁRIO SOCIESC,,Privada com fins lucrativos,ENGENHARIA DE PRODUÇÃO,Joinville,SC,4
CENTRO UNIVERSITÁRIO SOCIESC,,Privada com fins lucrativos,FISIOTERAPIA,Joinville,SC,4
CENTRO UNIVERSITÁRIO SOCIESC,,Privada com fins lucrativos,MEDICINA VETERINÁRIA,Joinville,SC,3
CENTRO UNIVERSITÁRIO SOCIESC,,Privada com fins lucrativos,NUTRIÇÃO,Joinville,SC,4
CENTRO UNIVERSITÁRIO SOCIESC,,Privada com fins lucrativos,TECNOLOGIA EM ESTÉTICA E COSMÉTICA,Joinville,SC,3
UNIVERSIDADE ESTÁCIO DE SÁ,UNESA,Privada com fins lucrativos,BIOMEDICINA,Rio de Janeiro,RJ,3
Centro Universitário Estácio do Ceará,Estácio Ceará,Privada com fins lucrativos,FISIOTERAPIA,Fortaleza,CE,3
Centro Universitário Estácio do Ceará,Estácio Ceará,Privada com fins lucrativos,NUTRIÇÃO,Fortaleza,CE,3
CENTRO UNIVERSITÁRIO CELSO LISBOA,UCL,Privada sem fins lucrativos,ENGENHARIA CIVIL,Rio de Janeiro,RJ,3
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO ESPÍRITO SANTO",IFES,Pública Federal,ENGENHARIA AMBIENTAL,Ibatiba,ES,4
CENTRO UNIVERSITÁRIO DOS GUARARAPES,UNIFG,Privada com fins lucrativos,FARMÁCIA,Jaboatão dos Guararapes,PE,3
UNIVERSIDADE ANHANGUERA,UNIDERP,Privada com fins lucrativos,ARQUITETURA E URBANISMO,Campo Grande,MS,3
UNIVERSIDADE ANHANGUERA,UNIDERP,Privada com fins lucrativos,NUTRIÇÃO,Campo Grande,MS,3
UNIVERSIDADE DO VALE DO PARAÍBA,UNIVAP,Comunitária/Confessional,ENGENHARIA DE PRODUÇÃO,São José dos Campos,SP,4
UNIVERSIDADE ANHANGUERA,UNIDERP,Privada com fins lucrativos,TECNOLOGIA EM ESTÉTICA E COSMÉTICA,Campo Grande,MS,SC
UNIVERSIDADE DE SOROCABA,UNISO,Comunitária/Confessional,BIOMEDICINA,Sorocaba,SP,3
UNIVERSIDADE CIDADE DE SÃO PAULO,UNICID,Privada com fins lucrativos,NUTRIÇÃO,São Paulo,SP,3
Universidade Evangélica de Goiás,UniEVANGÉLICA,Privada sem fins lucrativos,ENGENHARIA ELÉTRICA,Anápolis,GO,5
CENTRO UNIVERSITÁRIO NOSSA SENHORA DO PATROCÍNIO,CEUNSP,Privada com fins lucrativos,MEDICINA VETERINÁRIA,Salto,SP,3
CENTRO UNIVERSITÁRIO DO DISTRITO FEDERAL,UDF,Privada com fins lucrativos,BIOMEDICINA,Brasília,DF,3
CENTRO UNIVERSITÁRIO DO DISTRITO FEDERAL,UDF,Privada com fins lucrativos,TECNOLOGIA EM RADIOLOGIA,Brasília,DF,4
Centro Universitário Estácio da Bahia,Estácio Bahia,Privada com fins lucrativos,BIOMEDICINA,Salvador,BA,2
CENTRO UNIVERSITÁRIO NOSSA SENHORA DO PATROCÍNIO,CEUNSP,Privada com fins lucrativos,TECNOLOGIA EM ESTÉTICA E COSMÉTICA,Itu,SP,3
CENTRO UNIVERSITÁRIO NOSSA SENHORA DO PATROCÍNIO,CEUNSP,Privada com fins lucrativos,ENGENHARIA MECÂNICA,Salto,SP,3
FAE CENTRO UNIVERSITÁRIO,,Privada sem fins lucrativos,ARQUITETURA E URBANISMO,Curitiba,PR,4
CENTRO UNIVERSITÁRIO DE PATO BRANCO,UNIDEP,Privada com fins lucrativos,ODONTOLOGIA,Pato Branco,PR,4
Centro Universitário CESUCA,,Privada com fins lucrativos,NUTRIÇÃO,Cachoeirinha,RS,5
Centro Universitário CESUCA,,Privada com fins lucrativos,FISIOTERAPIA,Cachoeirinha,RS,4
Centro Universitário CESUCA,,Privada com fins lucrativos,BIOMEDICINA,Cachoeirinha,RS,4
Centro Universitário CESUCA,,Privada com fins lucrativos,ODONTOLOGIA,Cachoeirinha,RS,4
Centro Universitário CESUCA,,Privada com fins lucrativos,ARQUITETURA E URBANISMO,Cachoeirinha,RS,4
FACULDADE SÃO FRANCISCO DO CEARÁ,FASC,Privada com fins lucrativos,FARMÁCIA,Iguatu,CE,3
FACULDADE SÃO FRANCISCO DO CEARÁ,FASC,Privada com fins lucrativos,NUTRIÇÃO,Iguatu,CE,3
Faculdade Rebouças de Campina Grande,FRCG,Privada com fins lucrativos,ODONTOLOGIA,Campina Grande,PB,3
CENTRO UNIVERSITÁRIO PARAÍSO,,Privada com fins lucrativos,FISIOTERAPIA,Juazeiro do Norte,CE,4
CENTRO UNIVERSITÁRIO PARAÍSO,,Privada com fins lucrativos,FARMÁCIA,Juazeiro do Norte,CE,4
